Time,RAM [MB],CPU Use [%],GPU Use [%]
13:23:47.975,37.3,13.3,26.4
13:23:49.983,37.4,14.9,26.4
13:23:51.997,37.3,12.3,26.2
13:23:54.006,37.4,12.1,26.2
13:23:56.015,37.4,11.9,26.1
13:23:58.031,37.3,13.6,26.4
13:24:0.473,37.2,19.6,26.3
13:24:2.035,37.4,20.2,26.3
13:24:4.044,37.3,12.5,26.3
13:24:6.046,37.3,12.4,26.2
13:24:8.060,37.2,12.5,26.2
13:24:10.067,37.2,15.3,26.1
13:24:12.080,37.2,12.4,26.3
13:24:14.088,37.2,12.3,26.2
13:24:16.097,37.2,13.0,26.4
13:24:18.102,37.2,13.2,26.4
13:24:20.106,37.2,15.4,26.4
13:24:22.111,37.2,12.4,26.3
13:24:24.114,37.2,12.2,26.3
13:24:26.115,37.2,12.6,26.3
13:24:28.118,37.2,12.6,26.3
13:24:30.122,37.2,12.1,26.2
13:24:32.136,37.2,11.7,26.1
13:24:34.150,37.2,12.3,26.3
13:24:36.165,37.2,12.3,26.2
13:24:38.168,37.2,12.5,26.1
13:24:40.174,37.1,12.5,26.3
13:24:42.175,37.2,12.1,26.3
13:24:44.181,37.2,12.6,26.3
13:24:46.183,37.2,14.3,26.3
13:24:48.190,37.3,13.9,26.4
13:24:50.190,37.3,16.0,26.4
13:24:52.199,37.3,12.8,26.4
13:24:54.210,37.2,12.3,26.2
13:24:56.212,37.2,16.4,26.4
13:24:58.215,37.2,13.8,26.4
13:25:0.235,37.2,13.9,26.3
13:25:2.227,37.4,14.5,26.3
13:25:4.234,37.3,12.7,26.4
13:25:6.245,37.3,12.7,26.4
13:25:8.247,37.2,13.3,26.3
13:25:10.246,37.4,14.2,26.8
13:25:12.310,37.3,17.0,26.9
13:25:14.257,37.7,42.1,29.2
13:25:16.258,37.8,24.8,29.7
13:25:18.312,37.7,22.0,29.0
13:25:20.275,37.8,16.6,27.7
13:25:22.284,37.7,20.5,27.8
13:25:24.375,37.9,46.9,27.6
13:25:26.293,37.8,20.5,27.8
13:25:28.299,37.9,23.4,27.8
13:25:30.437,38.1,37.1,29.3
13:25:32.308,38.2,42.8,28.6
13:25:34.316,38.2,20.4,28.5
13:25:36.498,38.0,28.2,29.4
13:25:38.338,38.0,23.6,29.4
13:25:40.351,38.0,21.5,30.3
13:25:42.550,37.9,13.3,30.0
13:25:44.365,37.9,13.6,28.9
13:25:46.364,37.9,13.6,28.6
13:25:48.589,37.9,13.5,28.5
13:25:50.384,37.8,13.4,28.4
13:25:52.386,37.7,14.0,28.7
13:25:54.621,37.5,22.9,28.5
13:25:56.401,37.6,13.5,28.5
13:25:58.404,37.5,15.1,28.5
13:26:0.417,37.5,17.0,28.5
13:26:2.422,37.6,22.6,28.6
13:26:4.432,37.6,17.9,28.4
13:26:6.435,37.5,14.1,28.4
13:26:8.447,37.5,14.6,28.4
13:26:10.461,37.5,14.8,28.4
13:26:12.476,37.6,14.0,28.5
13:26:14.491,37.5,17.0,28.5
13:26:16.506,37.5,14.0,28.5
13:26:18.512,37.6,14.0,28.5
13:26:20.519,37.5,13.3,28.4
13:26:22.524,37.5,13.4,28.4
13:26:24.534,37.5,13.0,28.3
13:26:26.538,37.5,13.6,28.3
13:26:28.547,37.5,13.9,28.3
13:26:30.559,37.5,13.7,28.3
13:26:32.563,37.5,13.5,28.3
13:26:34.571,37.5,14.3,28.3
13:26:36.579,37.5,13.3,28.3
13:26:38.590,37.5,14.1,28.3
13:26:40.596,37.5,13.8,28.3
13:26:42.610,37.5,13.5,28.3
13:26:44.621,37.6,16.9,28.3
13:26:46.631,37.6,14.5,28.5
13:26:48.639,37.6,15.6,28.3
13:26:50.644,37.6,13.7,28.3
13:26:52.649,37.6,13.7,28.3
13:26:54.646,37.6,13.8,28.3
13:26:56.646,37.6,14.3,28.4
13:26:58.651,37.6,14.1,28.4
